date,high,isin,last,low
2020-06-26 09:28:27.984520,159.56,US0846707026,159.32,158.8
2020-06-26 09:28:29.184416,91.31,US94106L1098,91.09,90.42
2020-06-26 14:08:00.386815,77.29,IE00B3RBWM25,77.08,76.71
2020-06-26 14:08:00.847022,159.56,US0846707026,158.7,158.24
2020-06-26 14:08:02.076204,91.99,US94106L1098,91.32,90.07
2020-06-29 09:22:56.360728,75.89,IE00B3RBWM25,75.89,75.59
2020-06-29 09:22:56.805966,156.24,US0846707026,156.24,155.26
2020-06-29 09:22:57.982717,92.12,US94106L1098,91.5,90.99
2020-06-29 13:01:17.795954,75.89,IE00B3RBWM25,75.62,75.46
2020-06-29 13:01:18.330090,156.88,US0846707026,156.46,155.26
2020-06-29 13:01:19.536053,92.24,US94106L1098,91.9,90.99
2020-06-30 09:45:36.142612,76.54,IE00B3RBWM25,76.43,76.27
2020-06-30 09:45:36.582814,158.84,US0846707026,158.62,157.92
2020-06-30 09:45:38.107858,92.6,US94106L1098,92.15,91.75
2020-06-30 15:40:10.068845,76.65,IE00B3RBWM25,76.45,76.2
2020-06-30 15:40:10.853648,159.0,US0846707026,157.7,157.48
2020-06-30 15:40:12.235541,93.11,US94106L1098,92.82,91.41
2020-07-01 09:49:53.177242,77.3,IE00B3RBWM25,77.3,76.94
2020-07-01 09:49:53.598985,159.74,US0846707026,159.02,158.22
2020-07-01 09:49:54.806809,94.8,US94106L1098,94.8,93.53
2020-07-02 09:51:12.666255,77.8,IE00B3RBWM25,77.8,77.53
2020-07-02 09:51:13.185599,158.96,US0846707026,158.3,157.54
2020-07-02 09:51:14.431669,94.33,US94106L1098,94.27,93.47
2020-07-02 17:01:03.435265,78.64,IE00B3RBWM25,78.26,77.53
2020-07-02 17:01:04.213354,160.74,US0846707026,159.1,157.54
2020-07-02 17:01:05.495798,95.0,US94106L1098,93.66,93.4
2020-07-03 10:41:24.963128,78.58,IE00B3RBWM25,78.39,77.92
